,Token,Frequency_2016,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
28,over,0.002657208270560742,0.002182977803039067,0.0002371152337608375,0.0024200930367999046,0.002182977803039067
15,mln,0.0042705132919726215,0.0021628581919511496,0.001053827550010736,0.0032166857419618855,0.0021628581919511496
24,from,0.003060534525913712,0.001951602275528014,0.000554466125192849,0.002506068400720863,0.0019516022755280138
38,CEO,0.002099669035219872,0.0017805855812807138,0.00015954172696957907,0.0019401273082502927,0.0017805855812807136
29,shares,0.00263348319671645,0.0016699277202971666,0.0004817777382096416,0.0021517054585068083,0.0016699277202971668
30,by,0.0025860330490278653,0.0015793894704015372,0.000503321789313164,0.0020827112597147012,0.0015793894704015372
45,the,0.0017319303906333408,0.0015693296648575782,8.130036288788128e-05,0.0016506300277454595,0.0015693296648575782
32,bln,0.002514857827494988,0.001529090442681743,0.0004928836924066225,0.0020219741350883656,0.0015290904426817431
27,new,0.002858871398237227,0.0013781933595223604,0.0007403390193574332,0.0021185323788797937,0.0013781933595223604
41,UK,0.0018505557598548026,0.0013178345262586074,0.0002663606167980976,0.001584195143056705,0.0013178345262586074
44,unit,0.001743792927555487,0.0013077747207146486,0.00021800910342041917,0.0015257838241350677,0.0013077747207146484
56,down,0.0013048790614360788,0.001564299762085599,0.0001297103503247601,0.001434589411760839,0.001304879061436079
59,New,0.0012692914506696401,0.001302744817942669,1.672668363651448e-05,0.0012860181343061546,0.0012692914506696401
50,3,0.0013641917460468097,0.0012625055957668338,5.084307513998794e-05,0.0013133486709068216,0.0012625055957668336
61,sees,0.0012455663768253479,0.002912313704976083,0.0008333736640753675,0.0020789400409007156,0.001245566376825348
